timestamp,Instrument,GICS Sector Code,GICS Industry Group Code,GICS Industry Code,GICS Sub-Industry Code
132,BBWI.N,25,2550,255040,25504040
133,EMN.N,15,1510,151010,15101050
134,NI.N,55,5510,551030,55103010
135,LMT.N,20,2010,201010,20101010
136,NOW.N,45,4510,451030,45103020
137,CHTR.OQ,50,5020,502010,50201030
138,NWSA.OQ,50,5020,502010,50201040
139,HIG.N,40,4030,403010,40301030
140,GPC.N,25,2550,255010,25501010
141,ENPH.OQ,45,4530,453010,45301010
142,POOL.OQ,25,2550,255010,25501010
143,WFC.N,40,4010,401010,40101010
144,VZ.N,50,5010,501010,50101020
145,COP.N,10,1010,101020,10102020
146,TSCO.OQ,25,2550,255040,25504040
147,GLW.N,45,4520,452030,45203015
148,ILMN.OQ,35,3520,352030,35203010
149,JKHY.OQ,40,4020,402010,40201060
150,ZBH.N,35,3510,351010,35101010
151,FOXA.OQ,50,5020,502010,50201020
152,TTWO.OQ,50,5020,502020,50202020
153,FFIV.OQ,45,4520,452010,45201020
154,AVY.N,15,1510,151030,15103020
155,CNP.N,55,5510,551030,55103010
156,BA.N,20,2010,201010,20101010
157,CAT.N,20,2010,201060,20106010
158,KEY.N,40,4010,401010,40101010
159,DVA.N,35,3510,351020,35102015
160,CMS.N,55,5510,551030,55103010
161,CDAY.N,20,2020,202020,20202010
162,MMM.N,20,2010,201050,20105010
163,PARA.OQ,50,5020,502010,50201020
164,VRSK.OQ,20,2020,202020,20202020
165,RL.N,25,2520,252030,25203010
166,CF.N,15,1510,151010,15101030
167,PG.N,30,3030,303010,30301010
168,AAP.N,25,2550,255040,25504050
169,TXN.OQ,45,4530,453010,45301020
170,URI.N,20,2010,201070,20107010
171,EA.OQ,50,5020,502020,50202020
172,CL.N,30,3030,303010,30301010
173,ANSS.OQ,45,4510,451030,45103010
174,PNW.N,55,5510,551010,55101010
175,FDS.N,40,4020,402030,40203040
176,ISRG.OQ,35,3510,351010,35101010
177,MSI.N,45,4520,452010,45201020
178,AWK.N,55,5510,551040,55104010
179,RTX.N,20,2010,201010,20101010
180,CMA.N,40,4010,401010,40101010
181,CB.N,40,4030,403010,40301040
182,MET.N,40,4030,403010,40301020
183,AVGO.OQ,45,4530,453010,45301020
184,FTNT.OQ,45,4510,451030,45103020
185,PNR.N,20,2010,201060,20106020
186,APD.N,15,1510,151010,15101040
187,AMD.OQ,45,4530,453010,45301020
188,CBRE.N,60,6020,602010,60201040
189,PH.N,20,2010,201060,20106020
190,ADP.OQ,20,2020,202020,20202010
191,NWL.OQ,25,2520,252010,25201050
192,KO.N,30,3020,302010,30201030
193,ADSK.OQ,45,4510,451030,45103010
194,BRO.N,40,4030,403010,40301010
195,ATO.N,55,5510,551020,55102010
196,EVRG.OQ,55,5510,551010,55101010
197,SCHW.N,40,4020,402030,40203020
198,CAG.N,30,3020,302020,30202030
199,GOOGL.OQ,50,5020,502030,50203010
200,DD.N,15,1510,151010,15101050
201,JPM.N,40,4010,401010,40101010
202,AZO.N,25,2550,255040,25504050
203,SYK.N,35,3510,351010,35101010
204,WEC.N,55,5510,551030,55103010
205,SJM.N,30,3020,302020,30202030
206,KMB.N,30,3030,303010,30301010
207,NKE.N,25,2520,252030,25203020
208,BBY.N,25,2550,255040,25504020
209,MO.N,30,3020,302030,30203010
210,BEN.N,40,4020,402030,40203010
211,SYF.N,40,4020,402020,40202010
212,CTVA.N,15,1510,151010,15101030
213,MDT.N,35,3510,351010,35101010
214,COST.OQ,30,3010,301010,30101040
215,CTAS.OQ,20,2020,202010,20201070
216,PXD.N,10,1010,101020,10102020
217,TMUS.OQ,50,5010,501020,50102010
218,EIX.N,55,5510,551010,55101010
219,IT.N,45,4510,451020,45102010
220,ULTA.OQ,25,2550,255040,25504040
221,TDY.N,45,4520,452030,45203010
222,PTC.OQ,45,4510,451030,45103010
223,GWW.N,20,2010,201070,20107010
224,TFC.N,40,4010,401010,40101015
225,AVB.N,60,6010,601060,60106010
226,MRK.N,35,3520,352020,35202010
227,ROP.N,45,4510,451030,45103010
228,DG.N,30,3010,301010,30101040
229,ETN.N,20,2010,201040,20104010
230,HLT.N,25,2530,253010,25301020
231,NWS.OQ,50,5020,502010,50201040
232,MKTX.OQ,40,4020,402030,40203040
233,EW.N,35,3510,351010,35101010
234,IPG.N,50,5020,502010,50201010
235,DISH.OQ,50,5020,502010,50201030
236,WMT.N,30,3010,301010,30101040
237,HSIC.OQ,35,3510,351020,35102010
238,CTRA.N,10,1010,101020,10102020
239,FDX.N,20,2030,203010,20301010
240,F.N,25,2510,251020,25102010
241,DRI.N,25,2530,253010,25301040
242,WELL.N,60,6010,601050,60105010
243,NCLH.N,25,2530,253010,25301020
244,XYL.N,20,2010,201060,20106020
245,CDNS.OQ,45,4510,451030,45103010
246,EQT.N,10,1010,101020,10102020
247,LNT.OQ,55,5510,551010,55101010
248,LEN.N,25,2520,252010,25201030
249,JCI.N,20,2010,201020,20102010
250,EFX.N,20,2020,202020,20202020
251,LDOS.N,20,2020,202020,20202020
252,AMAT.OQ,45,4530,453010,45301010
253,NVR.N,25,2520,252010,25201030
254,RSG.N,20,2020,202010,20201050
255,MGM.N,25,2530,253010,25301010
256,DAL.N,20,2030,203020,20302010
257,CHD.N,30,3030,303010,30301010
258,SNPS.OQ,45,4510,451030,45103010
259,EXC.OQ,55,5510,551010,55101010
260,V.N,40,4020,402010,40201060
261,TPR.N,25,2520,252030,25203010
262,PHM.N,25,2520,252010,25201030
263,SRE.N,55,5510,551030,55103010
264,OMC.N,50,5020,502010,50201010
265,NSC.N,20,2030,203040,20304010
266,ADI.OQ,45,4530,453010,45301020
267,PYPL.OQ,40,4020,402010,40201060
268,ALB.N,15,1510,151010,15101050
269,HII.N,20,2010,201010,20101010
270,BXP.N,60,6010,601040,60104010
271,HPQ.N,45,4520,452020,45202030
272,PEG.N,55,5510,551030,55103010
273,KEYS.N,45,4520,452030,45203010
274,WRK.N,15,1510,151030,15103020
275,SO.N,55,5510,551010,55101010
276,VMC.N,15,1510,151020,15102010
277,AXP.N,40,4020,402020,40202010
278,EXR.N,60,6010,601080,60108020
279,PFE.N,35,3520,352020,35202010
280,NVDA.OQ,45,4530,453010,45301020
281,NTRS.OQ,40,4020,402030,40203010
282,WDC.OQ,45,4520,452020,45202030
283,DLR.N,60,6010,601080,60108050
284,MHK.N,25,2520,252010,25201020
285,REGN.OQ,35,3520,352010,35201010
286,EPAM.N,45,4510,451020,45102010
287,INTC.OQ,45,4530,453010,45301020
288,ZTS.N,35,3520,352020,35202010
289,ABT.N,35,3510,351010,35101010
290,SYY.N,30,3010,301010,30101020
291,MS.N,40,4020,402030,40203020
292,L.N,40,4030,403010,40301040
293,TROW.OQ,40,4020,402030,40203010
294,DXCM.OQ,35,3510,351010,35101010
295,NOC.N,20,2010,201010,20101010
296,C.N,40,4010,401010,40101010
297,CTSH.OQ,45,4510,451020,45102010
298,LKQ.OQ,25,2550,255010,25501010
299,RMD.N,35,3510,351010,35101010
300,BMY.N,35,3520,352020,35202010
301,PM.N,30,3020,302030,30203010
302,SWKS.OQ,45,4530,453010,45301020
303,BRKb.N,40,4020,402010,40201030
304,CSGP.OQ,20,2020,202020,20202020
305,LHX.N,20,2010,201010,20101010
306,STX.OQ,45,4520,452020,45202030
307,FAST.OQ,20,2010,201070,20107010
308,APH.N,45,4520,452030,45203015
309,MAS.N,20,2010,201020,20102010
310,FRC.N^E23,40,4010,401010,40101015
311,VTR.N,60,6010,601050,60105010
312,T.N,50,5010,501010,50101020
313,HCA.N,35,3510,351020,35102020
314,AMT.N,60,6010,601080,60108030
315,PSX.N,10,1010,101020,10102030
316,INCY.OQ,35,3520,352010,35201010
317,AIZ.N,40,4030,403010,40301030
318,MDLZ.OQ,30,3020,302020,30202030
319,LW.N,30,3020,302020,30202030
320,BSX.N,35,3510,351010,35101010
321,COF.N,40,4020,402020,40202010
322,DE.N,20,2010,201060,20106015
323,META.OQ,50,5020,502030,50203010
324,WBA.OQ,30,3010,301010,30101010
325,MRO.N,10,1010,101020,10102020
326,DLTR.OQ,30,3010,301010,30101040
327,UDR.N,60,6010,601060,60106010
328,CME.OQ,40,4020,402030,40203040
329,BR.N,20,2020,202020,20202030
330,WHR.N,25,2520,252010,25201040
331,VFC.N,25,2520,252030,25203010
332,WM.N,20,2020,202010,20201050
333,ETR.N,55,5510,551010,55101010
334,KMI.N,10,1010,101020,10102040
335,CVS.N,35,3510,351020,35102015
336,IQV.N,35,3520,352030,35203010
337,TRMB.OQ,45,4520,452030,45203010
338,WST.N,35,3520,352030,35203010
339,WTW.OQ,40,4030,403010,40301010
340,KMX.N,25,2550,255040,25504050
341,LLY.N,35,3520,352020,35202010
342,BG.N,30,3020,302020,30202010
343,MA.N,40,4020,402010,40201060
344,MCK.N,35,3510,351020,35102010
345,TJX.N,25,2550,255040,25504010
346,TRGP.N,10,1010,101020,10102040
347,INVH.N,60,6010,601060,60106020
348,BAC.N,40,4010,401010,40101010
349,FOX.OQ,50,5020,502010,50201020
350,DOV.N,20,2010,201060,20106020
351,VICI.N,60,6010,601080,60108010
352,CTLT.N,35,3520,352020,35202010
353,ACN.N,45,4510,451020,45102010
354,CAH.N,35,3510,351020,35102010
355,MTD.N,35,3520,352030,35203010
356,XOM.N,10,1010,101020,10102010
357,ON.OQ,45,4530,453010,45301020
358,PKG.N,15,1510,151030,15103020
359,CZR.OQ,25,2530,253010,25301010
360,K.N,30,3020,302020,30202030
361,EQR.N,60,6010,601060,60106010
362,AOS.N,20,2010,201020,20102010
363,PKI.N,35,3520,352030,35203010
364,VTRS.OQ,35,3520,352020,35202010
365,SPG.N,60,6010,601070,60107010
366,DGX.N,35,3510,351020,35102015
367,GILD.OQ,35,3520,352010,35201010
368,MLM.N,15,1510,151020,15102010
369,HAS.OQ,25,2520,252020,25202010
370,ESS.N,60,6010,601060,60106010
371,LYV.N,50,5020,502020,50202010
372,NTAP.OQ,45,4520,452020,45202030
373,EBAY.OQ,25,2550,255030,25503030
374,CMI.N,20,2010,201060,20106010
375,MTCH.OQ,50,5020,502030,50203010
376,TEL.N,45,4520,452030,45203020
377,CINF.OQ,40,4030,403010,40301040
378,ORCL.N,45,4510,451030,45103020
379,RHI.N,20,2020,202020,20202010
380,XEL.OQ,55,5510,551010,55101010
381,ALK.N,20,2030,203020,20302010
382,AIG.N,40,4030,403010,40301030
383,JBHT.OQ,20,2030,203040,20304030
384,CPRT.OQ,20,2020,202010,20201070
385,IVZ.N,40,4020,402030,40203010
386,LIN.N,15,1510,151010,15101040
387,TGT.N,30,3010,301010,30101040
388,KLAC.OQ,45,4530,453010,45301010
389,MCO.N,40,4020,402030,40203040
390,SEE.N,15,1510,151030,15103020
391,BAX.N,35,3510,351010,35101010
392,PODD.OQ,35,3510,351010,35101010
393,DVN.N,10,1010,101020,10102020
394,HSY.N,30,3020,302020,30202030
395,AAPL.OQ,45,4520,452020,45202030
396,ALLE.N,20,2010,201020,20102010
397,INTU.OQ,45,4510,451030,45103010
398,GD.N,20,2010,201010,20101010
399,BK.N,40,4020,402030,40203010
400,TSN.N,30,3020,302020,30202030
401,VRSN.OQ,45,4510,451020,45102030
402,ICE.N,40,4020,402030,40203040
403,LUV.N,20,2030,203020,20302010
404,UNP.N,20,2030,203040,20304010
405,UNH.N,35,3510,351020,35102030
406,SBAC.OQ,60,6010,601080,60108030
407,HWM.N,20,2010,201010,20101010
408,VRTX.OQ,35,3520,352010,35201010
409,MPC.N,10,1010,101020,10102030
410,HES.N,10,1010,101020,10102020
411,PAYC.N,20,2020,202020,20202010
412,GS.N,40,4020,402030,40203020
413,CBOE.Z,40,4020,402030,40203040
414,EL.N,30,3030,303020,30302010
415,HST.OQ,60,6010,601030,60103010
416,CSCO.OQ,45,4520,452010,45201020
417,ELV.N,35,3510,351020,35102030
418,KIM.N,60,6010,601070,60107010
419,WY.N,60,6010,601080,60108040
420,UAL.OQ,20,2030,203020,20302010
421,AMZN.OQ,25,2550,255030,25503030
422,AMGN.OQ,35,3520,352010,35201010
423,GIS.N,30,3020,302020,30202030
424,D.N,55,5510,551030,55103010
425,WYNN.OQ,25,2530,253010,25301010
426,NXPI.OQ,45,4530,453010,45301020
427,ALL.N,40,4030,403010,40301040
428,ARE.N,60,6010,601040,60104010
429,DXC.N,45,4510,451020,45102010
430,WMB.N,10,1010,101020,10102040
431,IP.N,15,1510,151030,15103020
432,O.N,60,6010,601070,60107010
433,FLT.N,40,4020,402010,40201060
434,FITB.OQ,40,4010,401010,40101010
435,GEN.OQ,45,4510,451030,45103020
436,GE.N,20,2010,201050,20105010
437,UPS.N,20,2030,203010,20301010
438,HON.OQ,20,2010,201050,20105010
439,BALL.N,15,1510,151030,15103010
440,MKC.N,30,3020,302020,30202030
441,FSLR.OQ,45,4530,453010,45301020
442,IDXX.OQ,35,3510,351010,35101010
443,REG.OQ,60,6010,601070,60107010
444,APA.OQ,10,1010,101020,10102020
445,GL.N,40,4030,403010,40301020
446,FE.N,55,5510,551010,55101010
447,MOS.N,15,1510,151010,15101030
448,OKE.N,10,1010,101020,10102040
449,LRCX.OQ,45,4530,453010,45301010
450,ALGN.OQ,35,3510,351010,35101020
451,JNJ.N,35,3520,352020,35202010
452,MCHP.OQ,45,4530,453010,45301020
453,MU.OQ,45,4530,453010,45301020
454,AEE.N,55,5510,551030,55103010
455,EMR.N,20,2010,201040,20104010
456,GPN.N,40,4020,402010,40201060
457,ES.N,55,5510,551010,55101010
458,FCX.N,15,1510,151040,15104025
459,CCL.N,25,2530,253010,25301020
460,FISV.OQ,40,4020,402010,40201060
461,DUK.N,55,5510,551010,55101010
462,CI.N,35,3510,351020,35102015
463,COO.N,35,3510,351010,35101020
464,TER.OQ,45,4530,453010,45301010
465,CPB.N,30,3020,302020,30202030
466,FANG.OQ,10,1010,101020,10102020
467,STZ.N,30,3020,302010,30201020
468,IRM.N,60,6010,601080,60108010
469,DTE.N,55,5510,551030,55103010
470,PPL.N,55,5510,551010,55101010
471,SBUX.OQ,25,2530,253010,25301040
472,ZBRA.OQ,45,4520,452030,45203010
473,ODFL.OQ,20,2030,203040,20304030
474,PAYX.OQ,20,2020,202020,20202010
475,TRV.N,40,4030,403010,40301040
476,EOG.N,10,1010,101020,10102020
477,LYB.N,15,1510,151010,15101010
478,CSX.OQ,20,2030,203040,20304010
479,ADM.N,30,3020,302020,30202010
480,GRMN.N,25,2520,252010,25201010
481,AFL.N,40,4030,403010,40301020
482,NUE.N,15,1510,151040,15104050
483,ANET.N,45,4520,452010,45201020
484,GM.N,25,2510,251020,25102010
485,PWR.N,20,2010,201030,20103010
486,WAT.N,35,3520,352030,35203010
487,DIS.N,50,5020,502020,50202010
488,ECL.N,15,1510,151010,15101050
489,ORLY.OQ,25,2550,255040,25504050
490,MAA.N,60,6010,601060,60106010
491,XRAY.OQ,35,3510,351010,35101020
492,GOOG.OQ,50,5020,502030,50203010
493,TDG.N,20,2010,201010,20101010
494,TYL.N,45,4510,451030,45103010
495,QCOM.OQ,45,4530,453010,45301020
496,DHR.N,35,3520,352030,35203010
497,NFLX.OQ,50,5020,502020,50202010
